type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text
Side By Side,,Front Hood,*,,CCSV Number,0.65,0.37,,0,100,,,,,,,,,,,,,125,,,
Side By Side,,Roof,*,,CCSV Number,0.5,0.37,,180,100,,,,,,,,,,,,,125,,,
Side By Side 4 Seater,,Front Hood,*,,CCSV Number,0.65,0.37,,0,100,,,,,,,,,,,,,125,,,
Side By Side 4 Seater,,Roof,*,,CCSV Number,0.5,0.37,,180,100,,,,,,,,,,,,,125,,,
Side By Side 6 Seater,,Front Hood,*,,CCSV Number,0.65,0.37,,0,100,,,,,,,,,,,,,125,,,
Side By Side 6 Seater,,Roof,*,,CCSV Number,0.5,0.37,,180,100,,,,,,,,,,,,,125,,,
Sports,,Front Hood,*,,WORCS Letter,0.77,0.5,,0,100,,,,,,,,,,,,,65,,,
Sports,,Front Plate,*,,WORCS Letter,0.87,0.42,,0,100,,,,,,,,,,,,,75,,,
Sports,,Front Plate,*,,WORCS Number,0.475,0.387,,0,110,,,,,,,,,,,,,180,,,
Sports,,Rear Plate,*,,WORCS Letter,0.77,0.5,,0,100,,,,,,,,,,,,,65,,,
Sports,,Vertical Right Rear Plate,*,,WORCS Letter,0.87,0.52,,0,100,,,,,,,,,,,,,100,,,
Sports,,Vertical Right Rear Plate,*,,WORCS Number,0.5,0.5,,0,110,,,,,,,,,,,,,160,,,
Sports,,Vertical Left Rear Plate,*,,WORCS Letter,0.87,0.52,,0,100,,,,,,,,,,,,,100,,,
Sports,,Vertical Left Rear Plate,*,,WORCS Number,0.5,0.5,,0,110,,,,,,,,,,,,,160,,,
Sports Junior,,Front Hood,*,,WORCS Letter,0.77,0.5,,0,100,,,,,,,,,,,,,65,,,
Sports Junior,,Front Plate,*,,WORCS Letter,0.87,0.42,,0,100,,,,,,,,,,,,,75,,,
Sports Junior,,Front Plate,*,,WORCS Number,0.475,0.387,,0,110,,,,,,,,,,,,,180,,,
Sports Junior,,Rear Plate,*,,WORCS Letter,0.77,0.5,,0,100,,,,,,,,,,,,,65,,,
Sports Junior,,Vertical Right Rear Plate,*,,WORCS Letter,0.87,0.52,,0,100,,,,,,,,,,,,,100,,,
Sports Junior,,Vertical Right Rear Plate,*,,WORCS Number,0.5,0.5,,0,110,,,,,,,,,,,,,160,,,
Sports Junior,,Vertical Left Rear Plate,*,,WORCS Letter,0.87,0.52,,0,100,,,,,,,,,,,,,100,,,
Sports Junior,,Vertical Left Rear Plate,*,,WORCS Number,0.5,0.5,,0,110,,,,,,,,,,,,,160,,,
