colour_id,display_name,display_colour,display_rgb,print_cmyk,colour_group,group_default,contrasting_colour,complementary_colours
84,Navy,Y,#1A026F,0.96_0.87_0.09_0.26,Blue,,10,19 | 89 | 90 | 30
85,Canary Yellow,Y,#E5D809,0.13_0.08_1_0,Yellow,,1495,9 | 10 | 11
86,Gold,Y,#CDB713,0.22_0.22_0.99_0,Yellow,,1495,9 | 87 | 11
87,Khaki,Y,#7C7E07,0.26_0.16_0.96_0.34,Green,,1495,1495 | 112 | 21 | 117
88,Violet,Y,#9E006F,0.28_0.98_0.04_0.11,Purple,,21,88 | 113 | 21
89,Midnight Blue,Y,#0E176A,0.97_0.84_0.10_0.29,Blue,,10,97 | 84 | 7 | 61
90,Light Khaki,Y,#948E4F,0.34_0.27_0.78_0.13,Yellow,,1495,77 | 112 | 96
91,Dark Cyan,Y,#007983,0.86_0.22_0.31_0.17,Green,,28,92 | 97 | 63 | 103
92,Cyan,Y,#67CBDB,0.51_0.01_0.10_0,Blue,,28,92 | 30 | 63 | 103
93,Dark Crimson,Y,#81222D,0.19_0.92_0.71_0.33,Red,,21,98 | 128 | 39 | 64
94,Very Dark Green,Y,#1E512D,0.80_0.27_0.89_0.45,Green,,74,128 | 40 | 7
95,Dark Forest Green,Y,#2D932F,0.72_0.05_0.97_0.13,Green,,47,21 | 27 | 93 | 88
96,Dark Golden Brown,Y,#997214,0.12_0.35_0.96_0.30,Yellow,,89,97 | 84 | 16
97,Chocolate Brown,Y,#6A3102,0.20_0.68_0.94_0.48,Brown,,19,7 | 83 | 89 | 92
98,British Racing Green,Y,#005D3E,0.87_0.21_0.79_0.37,Green,,38,126 | 88 | 128 | 113
99,Dark Magenta,Y,#96004A,0.12_0.96_0.51_0.19,Purple,,41,22 | 98 | 88 | 64
100,Dark Yellow,Y,#FFE413,0.01_0.05_0.98_0,Yellow,,1495,9 | 10 | 58 | 11
101,Dark Platinum,Y,#D8CBB9,0.14_0.15_0.22_0,Beige,,7,128 | 4 | 5 | 3
102,Light Copper,Y,#CD9E71,0.14_0.35_0.56_0.02,Brown,,103,59 | 128 | 30 | 68
103,Turquoise,Y,#4CCFC1,0.53_0_0.26_0,Green,,28,92 | 63 | 97
104,Dark Beige,Y,#CBB786,0.18_0.21_0.54_0.01,Beige,,19,81 | 31 | 69 | 4
105,Dark Brown,Y,#5B4C13,0.27_0.36_0.92_0.55,Yellow,,80,76 | 61 | 7
106,Lime Green,Y,#C7E777,0.21_0_0.58_0,Green,,88,87 | 113 | 1495 | 51
107,Very Light Olive,Y,#C5DC22,0.22_0_0.90_0.01,Yellow,,113,10 | 21 | 1495 | 60
108,Bronze,Y,#B99E6A,0.23_0.30_0.62_0.04,Brown,,92,83 | 31 | 81 | 59
109,Light Charcoal,Y,#3B4547,0.80_0.64_0.59_0.28,Grey,,3,5 | 7
110,Very Light Khaki,Y,#B4A36A,0.25_0.26_0.64_0.04,Yellow,,1495,61 | 31 | 90 | 83
111,Dark Bronze,Y,#625502,0.25_0.31_0.93_0.51,Yellow,,92,7 | 9 | 61 | 89
112,Dark Purple,Y,#6F1C8E,0.70_0.93_0_0.01,Purple,,8,60 | 61 | 21 | 113
113,Dark Green,Y,#017C47,0.85_0.13_0.86_0.19,Green,,28,113 | 92 | 35 | 93
114,Very Dark Violet,Y,#5B0A9B,0.83_0.92_0_0,Purple,,113,87 | 90 | 1495 | 112
115,Dark Violet,Y,#883A5B,0.32_0.85_0.30_0.19,Pink,,21,26 | 51 | 113 | 113
116,Very Dark Bronze,Y,#554D26,0.42_0.46_0.87_0.46,Brown,,92,7 | 13 | 61 | 89
117,Olive,Y,#658803,0.44_0.09_0.98_0.27,Green,,21,1495 | 112 | 21
118,Light Indigo,Y,#6748B4,0.71_0.81_0_0,Purple,,10,79 | 60 | 9 | 13
119,Very Dark Olive,Y,#4C601E,0.47_0.19_0.94_0.46,Green,,21,60 | 61 | 21 | 113
120,Very Dark Purple,Y,#671560,0.55_0.97_0.08_0.21,Purple,,8,60 | 61 | 21 | 113
121,Kawasaki Green,Y,#51B71E,0.60_0.01_0.97_0.02,Green,,47,98 | 21 | 1495 | 88
122,Lawn Green,Y,#51B71E,0.60_0.01_0.97_0.02,Green,Y,47,98 | 21 | 1495 | 88
123,Racing Blue,Y,#47ACDB,0.62_0.13_0.01_0,Blue,,28,92 | 30 | 63 | 103
124,Sky Blue,Y,#009BD6,0.70_0.21_0.01_0.01,Blue,,28,92 | 30 | 54 | 103
125,Light Royal Blue,Y,#0F75C8,0.73_0.33_0_0,Blue,,17,83 | 123 | 124 | 63
126,Dark British Racing Green,Y,#1E4A37,0.82_0.35_0.73_0.46,Green,,28,127 | 40 | 128 | 7
127,Light British Racing Green,Y,#006F52,0.87_0.20_0.71_0.24,Green,,47,98 | 92 | 35 | 93
128,Emerald Green,Y,#018E6C,0.84_0.11_0.65_0.08,Green,,28,113 | 92 | 35 | 93
129,Dark Navy Blue,Y,#131E35,0.90_0.67_0.28_0.57,Blue,,32,7 | 83 | 61 | 89
130,Yamaha Blue,Y,#003088,0.98_0.81_0.04_0.13,Blue,,10,83 | 30 | 61 | 89
131,Light Midnight Blue,Y,#003088,0.98_0.81_0.04_0.13,Blue,,10,83 | 30 | 84 | 89
132,1986 Honda Red,Y,#FF1E00,0_0.84_1_0,Red,,103,74 | 17 | 88 | 109
133,Fastway Yellow,Y,#FFD100,0_0.17_1_0,Yellow,,134,134
134,Fastway Blue,Y,#002550,1_0.65_0_0.65,Blue,,133,133
1495,Eggplant Purple,Y,#88109B,0.58_0.99_0_0,Purple,,71,60 | 79 | 21 | 71 | 3 | 7
