type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,stroke_internal_1,stroke_front_1,spacing,alignment,font_size,font_family,height,text,flipX,flipY,Notes
DRX2 70 2008-2015,,Right Tank,775,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 70 2008-2015,,Left Tank,776,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 70 2008-2015,,Front Plate,774,Background,,0,0,1,0,3,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 70 2008-2015,,Right Front Fender,764,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 70 2008-2015,,Left Front Fender,765,Background,,0,0,1,0,5,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 70 2008-2015,,Front Hood,763,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 70 2008-2015,,Right Rear Fender,766,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 70 2008-2015,,Left Rear Fender,767,Background,,0,0,1,0,4,Black,,,,,,,,,,1,0,,,,,,,,,
DRX2 70 2008-2015,,Left Rear Fender,767,Designer Added Icon 1,,320.9505338345866,92.34869834051243,7,0,5,Motocal Red,8320,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,,Right Rear Fender,766,Designer Added Icon 1,,364.5614661654133,92.34869834051243,7,0,5,Motocal Red,8320,,,,,,,,,,,,,,,,,1,,
DRX2 70 2008-2015,,Left Tank,776,Designer Added Icon 1,,400.226104463732,335.03089509638966,8.9,26,5,Motocal Red,6981,,,,,,,,,,,,,,,,,1,,
DRX2 70 2008-2015,,Left Tank,776,Designer Added Icon 2,,879.6433697423131,-402.12322867457624,3.1130122726223415,45,6,Motocal Red,7310,,,,,,,,,,,,,,,,,1,,
DRX2 70 2008-2015,,Right Tank,775,Designer Added Icon 1,,983.2038955362681,335.03089509638966,8.9,-26,5,Motocal Red,6981,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,,Right Tank,775,Designer Added Icon 2,,503.78663025768697,-402.12322867457624,3.1130122726223415,-45,6,Motocal Red,7310,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,,Left Front Fender,765,Designer Added Icon 1,,230.5610728039095,442.19640587460896,5.430177221646079,-57,6,Motocal Red,6981,,,,,,,,,,,,,,,,,1,,
DRX2 70 2008-2015,,Right Front Fender,764,Designer Added Icon 1,,171.5349271960905,442.19640587460896,5.430177221646079,57,6,Motocal Red,6981,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,,Front Hood,763,Designer Added Icon 1,,239.4375,230.97649999999996,7.219400502596238,0,5,Motocal Red,8313,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,,Front Plate,774,Designer Added Icon 1,,252.00099999999998,360,9.79923008566056,0,4,Motocal Red,8313,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Front Plate,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Front Plate,,Governing Body Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Front Plate,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Front Plate,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Front Plate,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Front Plate,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Right Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Right Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Right Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Right Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Right Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Right Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Left Front Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Left Front Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Left Front Fender,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Left Front Fender,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Left Front Fender,,Designer Added Icon 6,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Left Front Fender,,Designer Added Icon 7,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Front Hood,,User Number,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Front Hood,,User Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Right Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Right Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Right Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Right Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Left Tank,,Target Logo,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Left Tank,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Left Tank,,Designer Added Icon 4,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Left Tank,,Designer Added Icon 5,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Right Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Right Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Left Rear Fender,,Designer Added Icon 2,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Left Rear Fender,,Designer Added Icon 3,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Front Plate,,User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Front Plate,,Target Name,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Front Plate,,User Letter,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRX2 70 2008-2015,X,Front Plate,,User State,,,,,,,,,,,,,,,,,,,,,,,,,,,
