type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text
Sports Car,,Right Rear Window,*,,FIA Flag No2,0.875,0.8,1,0,110,,,,,,,,,,,,,,,,
Sports Car,,Right Rear Window,*,,FIA Driver,0.62,0.6,,0,120,,,,,,,,,,,,,65,,,
Sports Car,,Right Rear Window,*,,FIA Co Driver,0.62,0.8,,0,130,,,,,,,,,,,,,65,,,
Rally,,Left Door Number Plate,*,,FIA Flag No1 Cross,0.125,0.125,1,0,100,,,,,,,,,,,,,,,,
Rally,,Left Door Number Plate,*,,FIA Flag No2 Cross,0.125,0.25,1,0,110,,,,,,,,,,,,,,,,
Rally,,Left Door Number Plate,*,,FIA Driver Cross,0.37,0.125,,0,120,,,,,,,,,,,,,85,,,
Rally,,Left Door Number Plate,*,,FIA Co Driver Cross,0.37,0.25,,0,130,,,,,,,,,,,,,85,,,
Rally,,Right Door Number Plate,*,,FIA Flag No1 Cross,0.875,0.125,1,0,100,,,,,,,,,,,,,,,,
Rally,,Right Door Number Plate,*,,FIA Flag No2 Cross,0.875,0.25,1,0,110,,,,,,,,,,,,,,,,
Rally,,Right Door Number Plate,*,,FIA Driver Cross,0.63,0.125,,0,120,,,,,,,,,,,,,85,,,
Rally,,Right Door Number Plate,*,,FIA Co Driver Cross,0.63,0.25,,0,130,,,,,,,,,,,,,85,,,
Rally,,Roof,*,,FIA Number Cross,0.5,0.5,,180,100,,,,,,,,,,,,,450,,,
Standard Road Car,,Left Door Number Plate,*,,FIA Flag No1 Cross,0.125,0.125,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Left Door Number Plate,*,,FIA Flag No2 Cross,0.125,0.25,1,0,110,,,,,,,,,,,,,,,,
Standard Road Car,,Left Door Number Plate,*,,FIA Driver Cross,0.37,0.125,,0,120,,,,,,,,,,,,,125,,,
Standard Road Car,,Left Door Number Plate,*,,FIA Co Driver Cross,0.37,0.25,,0,130,,,,,,,,,,,,,125,,,
Standard Road Car,,Right Door Number Plate,*,,FIA Flag No1 Cross,0.875,0.125,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Right Door Number Plate,*,,FIA Flag No2 Cross,0.875,0.25,1,0,110,,,,,,,,,,,,,,,,
Standard Road Car,,Right Door Number Plate,*,,FIA Driver Cross,0.63,0.125,,0,120,,,,,,,,,,,,,125,,,
Standard Road Car,,Right Door Number Plate,*,,FIA Co Driver Cross,0.63,0.25,,0,130,,,,,,,,,,,,,125,,,
Standard Road Car,,Roof,*,,FIA Number Cross,0.5,0.5,,180,100,,,,,,,,,,,,,450,,,
Sports Car,,Left Door Number Plate,*,,Designation,0.5,0.25,,0,100,,,,,,,,,,,,,125,,,
Sports Car,,Right Door Number Plate,*,,Designation,0.5,0.25,,0,100,,,,,,,,,,,,,125,,,
Sports Car,,Left Door Number Plate,*,,Drag Letter,0.125,0.25,,0,110,,,,,,,,,,,,,125,,,
Sports Car,,Left Door Number Plate,*,,Drag Number,0.325,0.5,,0,120,,,,,,,,,,,,,350,,,
Sports Car,,Left Door Number Plate,*,,Drag Flag,0.5,0.25,1,0,130,,,,,,,,,,,,,,,,
Sports Car,,Left Door Number Plate,*,,Drag Name,0.623,0.25,,0,140,,,,,,,,,,,,,125,,,
Sports Car,,Left Door Number Plate,*,,Drag Sponsor,0.75,0.75,1,0,150,,,,,,,,,,,,,,,,
Sports Car,,Right Door Number Plate,*,,Drag Letter,0.875,0.25,,0,110,,,,,,,,,,,,,125,,,
Sports Car,,Right Door Number Plate,*,,Drag Number,0.675,0.5,,0,120,,,,,,,,,,,,,350,,,
Sports Car,,Right Door Number Plate,*,,Drag Flag,0.5,0.25,1,0,130,,,,,,,,,,,,,,,,
Sports Car,,Right Door Number Plate,*,,Drag Name,0.375,0.25,,0,140,,,,,,,,,,,,,125,,,
Sports Car,,Right Door Number Plate,*,,Drag Sponsor,0.25,0.75,1,0,150,,,,,,,,,,,,,,,,
Sports Car,,Rear Left Wheel Arch,*,,LMP Class,0.11,0.25,1,0,100,,,,,,,,,,,,,,,,
Sports Car,,Rear Left Wheel Arch,*,,LMP Logo,0.25,0.2,1,0,110,,,,,,,,,,,,,,,,
Sports Car,,Rear Left Wheel Arch,*,,LMP Number,0.25,0.5,,0,120,,,,,,,,,,,,,125,,,
Sports Car,,Rear Right Wheel Arch,*,,LMP Class,0.89,0.25,1,0,100,,,,,,,,,,,,,,,,
Sports Car,,Rear Right Wheel Arch,*,,LMP Logo,0.75,0.2,1,0,110,,,,,,,,,,,,,,,,
