type,delete,position,shape,feature,placement,x,y,scale,angle,z_index,fill,icon,b1f,b2f,b3f,b4f,b1w,b2w,b3w,b4w,spacing,alignment,font_size,font_family,height,text
Rally,,Right Rear Window,*,,RallyNZ Flag1,0.875,0.6,0.6,0,110,,,,,,,,,,,,,,,,
Rally,,Right Rear Window,*,,RallyNZ Flag2,0.875,0.8,0.6,0,120,,,,,,,,,,,,,,,,
Rally,,Right Rear Window,*,,RallyNZ Driver1,0.55,0.6,,0,130,,,,,,,,,,,,,60,,,
Rally,,Right Rear Window,*,,RallyNZ Driver2,0.55,0.8,,0,140,,,,,,,,,,,,,60,,,
Rally,,Rear Windscreen,*,,RallyNZ Number,0.85,0.5,,0,100,,,,,,,,,,,,,85,,,
Standard Road Car,,Bonnet,*,,RallyNZ Number,0.5,0.4,,0,100,,,,,,,,,,,,,470,,,
Standard Road Car,,Roof,*,,RallyNZ Number,0.5,0.45,,180,100,,,,,,,,,,,,,470,,,
Standard Road Car,,Front Left Wheel Arch,*,,RallyNZ Flag1,0.6,0.2,0.5,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Front Left Wheel Arch,*,,RallyNZ Flag2,0.6,0.33,0.5,0,110,,,,,,,,,,,,,,,,
Standard Road Car,,Front Left Wheel Arch,*,,RallyNZ Driver1,0.8,0.2,,0,120,,,,,,,,,,,,,50,,,
Standard Road Car,,Front Left Wheel Arch,*,,RallyNZ Driver2,0.8,0.33,,0,130,,,,,,,,,,,,,50,,,
Standard Road Car,,Front Right Wheel Arch,*,,RallyNZ Flag1,0.4,0.2,0.5,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Front Right Wheel Arch,*,,RallyNZ Flag2,0.4,0.33,0.5,0,110,,,,,,,,,,,,,,,,
Standard Road Car,,Front Right Wheel Arch,*,,RallyNZ Driver1,0.2,0.2,,0,120,,,,,,,,,,,,,50,,,
Standard Road Car,,Front Right Wheel Arch,*,,RallyNZ Driver2,0.2,0.33,,0,130,,,,,,,,,,,,,50,,,
Standard Road Car,,Left Door Number Plate,*,,RallyNZ Number,0.3,0.33,,0,100,,,,,,,,,,,,,350,,,
Standard Road Car,,Right Door Number Plate,*,,RallyNZ Number,0.7,0.33,,0,100,,,,,,,,,,,,,350,,,
Standard Road Car,,Left Rear Window,*,,RallyNZ Number,0.35,0.35,,0,100,,,,,,,,,,,,,85,,,
Standard Road Car,,Left Rear Window,*,,RallyNZ Flag1,0.125,0.6,0.6,0,110,,,,,,,,,,,,,,,,
Standard Road Car,,Left Rear Window,*,,RallyNZ Flag2,0.125,0.8,0.6,0,120,,,,,,,,,,,,,,,,
Standard Road Car,,Left Rear Window,*,,RallyNZ Driver1,0.45,0.6,,0,130,,,,,,,,,,,,,62.5,,,
Standard Road Car,,Left Rear Window,*,,RallyNZ Driver2,0.45,0.8,,0,140,,,,,,,,,,,,,62.5,,,
Standard Road Car,,Right Rear Window,*,,RallyNZ Number,0.65,0.35,,0,100,,,,,,,,,,,,,85,,,
Standard Road Car,,Right Rear Window,*,,RallyNZ Flag1,0.875,0.6,0.6,0,110,,,,,,,,,,,,,,,,
Standard Road Car,,Right Rear Window,*,,RallyNZ Flag2,0.875,0.8,0.6,0,120,,,,,,,,,,,,,,,,
Standard Road Car,,Right Rear Window,*,,RallyNZ Driver1,0.55,0.6,,0,130,,,,,,,,,,,,,62.5,,,
Standard Road Car,,Right Rear Window,*,,RallyNZ Driver2,0.55,0.8,,0,140,,,,,,,,,,,,,62.5,,,
Standard Road Car,,Rear Windscreen,*,,RallyNZ Number,0.85,0.5,,0,100,,,,,,,,,,,,,85,,,
Sports Car,,Bonnet,*,,RallyNZ Number,0.5,0.35,,0,100,,,,,,,,,,,,,450,,,
Sports Car,,Roof,*,,RallyNZ Number,0.5,0.4,,180,100,,,,,,,,,,,,,450,,,
Sports Car,,Front Left Wheel Arch,*,,RallyNZ Flag1,0.6,0.2,0.5,0,100,,,,,,,,,,,,,,,,
Sports Car,,Front Left Wheel Arch,*,,RallyNZ Flag2,0.6,0.33,0.5,0,110,,,,,,,,,,,,,,,,
Sports Car,,Front Left Wheel Arch,*,,RallyNZ Driver1,0.8,0.2,,0,120,,,,,,,,,,,,,50,,,
Sports Car,,Front Left Wheel Arch,*,,RallyNZ Driver2,0.8,0.33,,0,130,,,,,,,,,,,,,50,,,
Sports Car,,Front Right Wheel Arch,*,,RallyNZ Flag1,0.4,0.2,0.5,0,100,,,,,,,,,,,,,,,,
Sports Car,,Front Right Wheel Arch,*,,RallyNZ Flag2,0.4,0.33,0.5,0,110,,,,,,,,,,,,,,,,
Sports Car,,Front Right Wheel Arch,*,,RallyNZ Driver1,0.2,0.2,,0,120,,,,,,,,,,,,,50,,,
Sports Car,,Front Right Wheel Arch,*,,RallyNZ Driver2,0.2,0.33,,0,130,,,,,,,,,,,,,50,,,
Sports Car,,Left Door Number Plate,*,,RallyNZ Number,0.35,0.335,,0,100,,,,,,,,,,,,,320,,,
Sports Car,,Right Door Number Plate,*,,RallyNZ Number,0.65,0.335,,0,100,,,,,,,,,,,,,320,,,
Sports Car,,Left Rear Window,*,,RallyNZ Number,0.35,0.35,,0,100,,,,,,,,,,,,,125,,,
Sports Car,,Left Rear Window,*,,RallyNZ Flag1,0.125,0.6,0.6,0,110,,,,,,,,,,,,,,,,
Sports Car,,Left Rear Window,*,,RallyNZ Flag2,0.125,0.8,0.6,0,120,,,,,,,,,,,,,,,,
Sports Car,,Left Rear Window,*,,RallyNZ Driver1,0.45,0.6,,0,130,,,,,,,,,,,,,62.5,,,
Sports Car,,Left Rear Window,*,,RallyNZ Driver2,0.45,0.8,,0,140,,,,,,,,,,,,,62.5,,,
Sports Car,,Right Rear Window,*,,RallyNZ Number,0.65,0.35,,0,100,,,,,,,,,,,,,125,,,
Sports Car,,Right Rear Window,*,,RallyNZ Flag1,0.875,0.6,0.6,0,110,,,,,,,,,,,,,,,,
Sports Car,,Right Rear Window,*,,RallyNZ Flag2,0.875,0.8,0.6,0,120,,,,,,,,,,,,,,,,
Sports Car,,Right Rear Window,*,,RallyNZ Driver1,0.55,0.6,,0,130,,,,,,,,,,,,,62.5,,,
Sports Car,,Right Rear Window,*,,RallyNZ Driver2,0.55,0.8,,0,140,,,,,,,,,,,,,62.5,,,
Sports Car,,Rear Windscreen,*,,RallyNZ Number,0.85,0.5,,0,100,,,,,,,,,,,,,125,,,
Sports Car,,Front Bumper,*,,GTRNZ Text,0.5,0.35,,0,100,,,,,,,,,,,,,87.5,,,
Sports Car,,Front Bumper,*,,GTRNZ Logo1,0.15,0.3,1,0,110,,,,,,,,,,,,,,,,
Sports Car,,Front Bumper,*,,GTRNZ Logo2,0.85,0.3,1,0,120,,,,,,,,,,,,,,,,
Sports Car,,Windscreen,*,,GTRNZ Logo,0.5,0.5,1,0,100,,,,,,,,,,,,,,,,
Sports Car,,Windscreen,*,,GTRNZ Number,0.13,0.5,,0,110,,,,,,,,,,,,,187,,,
Sports Car,,Windscreen,*,,GTRNZ Class,0.22,0.5,1,0,120,,,,,,,,,,,,,,,,
Sports Car,,Front Left Wheel Arch,*,,GTRNZ Logo,0.88,0.85,1,0,100,,,,,,,,,,,,,,,,
Sports Car,,Front Right Wheel Arch,*,,GTRNZ Logo,0.12,0.85,1,0,100,,,,,,,,,,,,,,,,
Sports Car,,Left Door Number Plate,*,,GTRNZ Number,0.3,0.6,,0,100,,,,,,,,,,,,,350,,,
Sports Car,,Right Door Number Plate,*,,GTRNZ Number,0.7,0.6,,0,100,,,,,,,,,,,,,350,,,
Sports Car,,Left Rear Window,*,,GTRNZ Driver1,0.25,0.3,,0,100,,,,,,,,,,,,,87.5,,,
Sports Car,,Left Rear Window,*,,GTRNZ Driver2,0.25,0.6,,0,110,,,,,,,,,,,,,87.5,,,
Sports Car,,Right Rear Window,*,,GTRNZ Driver1,0.75,0.3,,0,100,,,,,,,,,,,,,87.5,,,
Sports Car,,Right Rear Window,*,,GTRNZ Driver2,0.75,0.6,,0,110,,,,,,,,,,,,,87.5,,,
Sports Car,,Rear Bumper,*,,GTRNZ Text,0.5,0.35,,0,100,,,,,,,,,,,,,87.5,,,
Sports Car,,Rear Number Plate,*,,GTRNZ Logo,0.5,0.5,1,0,100,,,,,,,,,,,,,,,,
Sports Car,,Boot,*,,GTRNZ Number,0.3,0.5,,0,100,,,,,,,,,,,,,125,,,
Standard Road Car,,Front Bumper,*,,GTRNZ Text,0.5,0.35,,0,100,,,,,,,,,,,,,87.5,,,
Standard Road Car,,Front Bumper,*,,GTRNZ Logo1,0.15,0.3,1,0,110,,,,,,,,,,,,,,,,
Standard Road Car,,Front Bumper,*,,GTRNZ Logo2,0.85,0.3,1,0,120,,,,,,,,,,,,,,,,
Standard Road Car,,Windscreen,*,,GTRNZ Logo,0.5,0.5,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Windscreen,*,,GTRNZ Number,0.13,0.5,,0,110,,,,,,,,,,,,,187,,,
Standard Road Car,,Windscreen,*,,GTRNZ Class,0.25,0.5,1,0,120,,,,,,,,,,,,,,,,
Standard Road Car,,Front Left Wheel Arch,*,,GTRNZ Logo,0.88,0.85,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Front Right Wheel Arch,*,,GTRNZ Logo,0.12,0.85,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Left Door Number Plate,*,,GTRNZ Number,0.35,0.55,,0,325,,,,,,,,,,,,,360,,,
Standard Road Car,,Right Door Number Plate,*,,GTRNZ Number,0.65,0.55,,0,325,,,,,,,,,,,,,360,,,
Standard Road Car,,Left Rear Window,*,,GTRNZ Driver1,0.25,0.3,,0,100,,,,,,,,,,,,,87.5,,,
Standard Road Car,,Left Rear Window,*,,GTRNZ Driver2,0.25,0.6,,0,110,,,,,,,,,,,,,87.5,,,
Standard Road Car,,Right Rear Window,*,,GTRNZ Driver1,0.75,0.3,,0,100,,,,,,,,,,,,,87.5,,,
Standard Road Car,,Right Rear Window,*,,GTRNZ Driver2,0.75,0.6,,0,110,,,,,,,,,,,,,87.5,,,
Standard Road Car,,Rear Bumper,*,,GTRNZ Text,0.5,0.35,,0,100,,,,,,,,,,,,,87.5,,,
Standard Road Car,,Rear Number Plate,*,,GTRNZ Logo,0.5,0.5,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Boot,*,,GTRNZ Number,0.3,0.5,,0,100,,,,,,,,,,,,,125,,,
Gran Turismo GT,,Front Bumper,*,,GTRNZ Text,0.5,0.35,,0,100,,,,,,,,,,,,,87.5,,,
Gran Turismo GT,,Front Bumper,*,,GTRNZ Logo1,0.15,0.3,1,0,110,,,,,,,,,,,,,,,,
Gran Turismo GT,,Front Bumper,*,,GTRNZ Logo2,0.85,0.3,1,0,120,,,,,,,,,,,,,,,,
Gran Turismo GT,,Windscreen,*,,GTRNZ Logo,0.5,0.6,1,0,100,,,,,,,,,,,,,,,,
Gran Turismo GT,,Windscreen,*,,GTRNZ Number,0.13,0.6,,0,110,,,,,,,,,,,,,187,,,
Gran Turismo GT,,Windscreen,*,,GTRNZ Class,0.25,0.6,1,0,120,,,,,,,,,,,,,,,,
Gran Turismo GT,,Front Left Wheel Arch,*,,GTRNZ Logo,0.88,0.85,1,0,100,,,,,,,,,,,,,,,,
Gran Turismo GT,,Front Right Wheel Arch,*,,GTRNZ Logo,0.12,0.85,1,0,100,,,,,,,,,,,,,,,,
Gran Turismo GT,,Left Door Number Plate,*,,GTRNZ Number,0.3,0.6,,0,100,,,,,,,,,,,,,400,,,
Gran Turismo GT,,Right Door Number Plate,*,,GTRNZ Number,0.7,0.6,,0,100,,,,,,,,,,,,,400,,,
Gran Turismo GT,,Left Rear Window,*,,GTRNZ Driver1,0.25,0.3,,0,100,,,,,,,,,,,,,87.5,,,
Gran Turismo GT,,Left Rear Window,*,,GTRNZ Driver2,0.25,0.6,,0,110,,,,,,,,,,,,,87.5,,,
Gran Turismo GT,,Right Rear Window,*,,GTRNZ Driver1,0.75,0.3,,0,100,,,,,,,,,,,,,87.5,,,
Gran Turismo GT,,Right Rear Window,*,,GTRNZ Driver2,0.75,0.6,,0,110,,,,,,,,,,,,,87.5,,,
Gran Turismo GT,,Rear Bumper,*,,GTRNZ Text,0.5,0.35,,0,100,,,,,,,,,,,,,87.5,,,
Gran Turismo GT,,Rear Number Plate,*,,GTRNZ Logo,0.5,0.5,1,0,100,,,,,,,,,,,,,,,,
Gran Turismo GT,,Boot,*,,GTRNZ Number,0.3,0.5,,0,100,,,,,,,,,,,,,125,,,
Sports Car,,Right Rear Door,*,,KumhoSS Logo,0.73,0.3,1,0,100,,,,,,,,,,,,,,,,
Sports Car,,Right Rear Door,*,,KumhoSS Class,0.73,0.65,1,0,110,,,,,,,,,,,,,,,,
Sports Car,,Left Rear Door,*,,KumhoSS Logo,0.27,0.3,1,0,100,,,,,,,,,,,,,,,,
Sports Car,,Left Rear Door,*,,KumhoSS Class,0.27,0.65,1,0,110,,,,,,,,,,,,,,,,
Sports Car,,Left Rear Window,*,,KumhoSS Driver,0.3,0.75,,0,100,,,,,,,,,,,,,125,,,
Sports Car,,Right Rear Window,*,,KumhoSS Driver,0.7,0.75,,0,100,,,,,,,,,,,,,125,,,
Sports Car,,Windscreen,*,,KumhoSS Number,0.8,0.5,,0,100,,,,,,,,,,,,,187,,,
Sports Car,,Windscreen,*,,KumhoSS Sponsor,0.5,0.5,1,0,110,,,,,,,,,,,,,,,,
Standard Road Car,,Right Rear Door,*,,KumhoSS Logo,0.73,0.3,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Right Rear Door,*,,KumhoSS Class,0.73,0.65,1,0,110,,,,,,,,,,,,,,,,
Standard Road Car,,Left Rear Door,*,,KumhoSS Logo,0.27,0.3,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Left Rear Door,*,,KumhoSS Class,0.27,0.65,1,0,110,,,,,,,,,,,,,,,,
Standard Road Car,,Left Rear Window,*,,KumhoSS Driver,0.3,0.75,,0,100,,,,,,,,,,,,,85,,,
Standard Road Car,,Right Rear Window,*,,KumhoSS Driver,0.7,0.75,,0,100,,,,,,,,,,,,,85,,,
Standard Road Car,,Windscreen,*,,KumhoSS Number,0.8,0.5,,0,100,,,,,,,,,,,,,187,,,
Standard Road Car,,Windscreen,*,,KumhoSS Sponsor,0.5,0.5,1,0,110,,,,,,,,,,,,,,,,
Sports Car,,Left Rear Window,*,,NZ Six Number,0.3,0.3,,0,100,,,,,,,,,,,,,125,,,
Sports Car,,Left Rear Window,*,,NZ Six Driver,0.3,0.7,,0,110,,,,,,,,,,,,,125,,,
Sports Car,,Right Rear Window,*,,NZ Six Number,0.7,0.3,,0,100,,,,,,,,,,,,,125,,,
Sports Car,,Right Rear Window,*,,NZ Six Driver,0.7,0.7,,0,110,,,,,,,,,,,,,125,,,
Standard Road Car,,Left Rear Window,*,,NZ Six Number,0.3,0.3,,0,100,,,,,,,,,,,,,95,,,
Standard Road Car,,Left Rear Window,*,,NZ Six Driver,0.3,0.7,,0,110,,,,,,,,,,,,,85,,,
Standard Road Car,,Right Rear Window,*,,NZ Six Number,0.7,0.3,,0,100,,,,,,,,,,,,,95,,,
Standard Road Car,,Right Rear Window,*,,NZ Six Driver,0.7,0.7,,0,110,,,,,,,,,,,,,85,,,
Sports Car,,Left Rear Window,*,,NZ ST Number,0.3,0.3,,0,100,,,,,,,,,,,,,125,,,
Sports Car,,Left Rear Window,*,,NZ ST Driver,0.6,0.8,,0,110,,,,,,,,,,,,,87.5,,,
Sports Car,,Right Rear Window,*,,NZ ST Number,0.7,0.3,,0,100,,,,,,,,,,,,,125,,,
Sports Car,,Right Rear Window,*,,NZ ST Driver,0.4,0.8,,0,110,,,,,,,,,,,,,87.5,,,
Sports Car,,Windscreen,*,,NZ ST Number,0.85,0.5,,0,100,,,,,,,,,,,,,187,,,
Sports Car,,Windscreen,*,,NZ ST Driver,0.72,0.5,,0,110,,,,,,,,,,,,,87.5,,,
Sports Car,,Rear Windscreen,*,,NZ ST Number,0.85,0.5,,0,100,,,,,,,,,,,,,125,,,
Sports Car,,Rear Windscreen,*,,NZ ST Driver,0.72,0.5,,0,110,,,,,,,,,,,,,87.5,,,
Standard Road Car,,Left Rear Window,*,,NZ ST Number,0.3,0.3,,0,100,,,,,,,,,,,,,95,,,
Standard Road Car,,Left Rear Window,*,,NZ ST Driver,0.6,0.8,,0,110,,,,,,,,,,,,,87.5,,,
Standard Road Car,,Right Rear Window,*,,NZ ST Number,0.7,0.3,,0,100,,,,,,,,,,,,,95,,,
Standard Road Car,,Right Rear Window,*,,NZ ST Driver,0.4,0.8,,0,110,,,,,,,,,,,,,87.5,,,
Standard Road Car,,Windscreen,*,,NZ ST Number,0.85,0.5,,0,100,,,,,,,,,,,,,187,,,
Standard Road Car,,Windscreen,*,,NZ ST Driver,0.65,0.5,,0,110,,,,,,,,,,,,,87.5,,,
Standard Road Car,,Rear Windscreen,*,,NZ ST Number,0.85,0.5,,0,100,,,,,,,,,,,,,95,,,
Standard Road Car,,Rear Windscreen,*,,NZ ST Driver,0.65,0.5,,0,110,,,,,,,,,,,,,87.5,,,
Sports Car,,Windscreen,*,,OSCA Class,0.85,0.5,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Windscreen,*,,OSCA Class,0.725,0.5,1,0,100,,,,,,,,,,,,,,,,
Gran Turismo GT,,Windscreen,*,,OSCA Class,0.85,0.6,1,0,100,,,,,,,,,,,,,,,,
Sports Car,,Windscreen,*,,SIES Number,0.85,0.5,,0,100,,,,,,,,,,,,,187,,,
Sports Car,,Rear Windscreen,*,,SIES Number,0.85,0.5,,0,100,,,,,,,,,,,,,100,,,
Sports Car,,Left Rear Window,*,,SIES Number,0.3,0.3,,0,100,,,,,,,,,,,,,87.5,,,
Sports Car,,Left Rear Window,*,,SIES Driver,0.5,0.75,,0,110,,,,,,,,,,,,,87.5,,,
Sports Car,,Right Rear Window,*,,SIES Number,0.7,0.3,,0,100,,,,,,,,,,,,,87.5,,,
Sports Car,,Right Rear Window,*,,SIES Driver,0.5,0.75,,0,110,,,,,,,,,,,,,87.5,,,
Standard Road Car,,Windscreen,*,,SIES Number,0.85,0.5,,0,100,,,,,,,,,,,,,187,,,
Standard Road Car,,Rear Windscreen,*,,SIES Number,0.85,0.5,,0,100,,,,,,,,,,,,,95,,,
Standard Road Car,,Left Rear Window,*,,SIES Number,0.3,0.3,,0,100,,,,,,,,,,,,,87.5,,,
Standard Road Car,,Left Rear Window,*,,SIES Driver,0.5,0.75,,0,110,,,,,,,,,,,,,87.5,,,
Standard Road Car,,Right Rear Window,*,,SIES Number,0.7,0.3,,0,100,,,,,,,,,,,,,87.5,,,
Standard Road Car,,Right Rear Window,*,,SIES Driver,0.5,0.75,,0,110,,,,,,,,,,,,,87.5,,,
Sports Car,,Right Rear Window,*,,SS2000NZ Driver,0.5,0.6,,0,100,,,,,,,,,,,,,75,,,
Sports Car,,Right Rear Window,*,,SS2000NZ Letter,0.5,0.3,,0,110,,,,,,,,,,,,,175,,,
Sports Car,,Left Rear Window,*,,SS2000NZ Driver,0.5,0.6,,0,100,,,,,,,,,,,,,75,,,
Sports Car,,Left Rear Window,*,,SS2000NZ Letter,0.5,0.3,,0,110,,,,,,,,,,,,,175,,,
Sports Car,,Right Door Number Plate,*,,SS2000NZ Logo,0.7,0.15,1,0,100,,,,,,,,,,,,,,,,
Sports Car,,Left Door Number Plate,*,,SS2000NZ Logo,0.3,0.15,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Right Rear Window,*,,SS2000NZ Driver,0.5,0.6,,0,100,,,,,,,,,,,,,75,,,
Standard Road Car,,Right Rear Window,*,,SS2000NZ Letter,0.5,0.3,,0,110,,,,,,,,,,,,,175,,,
Standard Road Car,,Left Rear Window,*,,SS2000NZ Driver,0.5,0.6,,0,100,,,,,,,,,,,,,75,,,
Standard Road Car,,Left Rear Window,*,,SS2000NZ Letter,0.5,0.3,,0,110,,,,,,,,,,,,,175,,,
Standard Road Car,,Right Door Number Plate,*,,SS2000NZ Logo,0.7,0.2,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Left Door Number Plate,*,,SS2000NZ Logo,0.3,0.2,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Bonnet,*,,NZ Mini Text,0.5,0.85,,0,100,,,,,,,,,,,,,85,,,
Standard Road Car,,Rear Bumper,*,,NZ Mini Text,0.5,0.3,,0,100,,,,,,,,,,,,,85,,,
Standard Road Car,,Windscreen,*,,NZ Mini Number,0.85,0.5,,0,100,,,,,,,,,,,,,187,,,
Standard Road Car,,Front Bumper,*,,INEX Number,0.8,0.4,,0,100,,,,,,,,,,,,,125,,,
Standard Road Car,,Left Quarter Panel,*,,INEX Class,0.5,0.7,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Right Quarter Panel,*,,INEX Class,0.5,0.7,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Rear Left Wheel Arch,*,,INEX Sponsor,0.5,0.75,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Rear Right Wheel Arch,*,,INEX Sponsor,0.5,0.75,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Windscreen,*,,INEX Sponsor,0.5,0.5,1,0,100,,,,,,,,,,,,,,,,
Standard Road Car,,Roof,*,,INEX Driver R,0.92,0.5,,-90,100,,,,,,,,,,,,,95,,,
Standard Road Car,,Roof,*,,INEX Driver L,0.08,0.5,,90,110,,,,,,,,,,,,,95,,,
Standard Road Car,,Windscreen,*,,WCCC Number,0.76,0.5,,0,100,,,,,,,,,,,,,187,,,
Sports Car,,Windscreen,*,,WCCC Number,0.76,0.5,,0,100,,,,,,,,,,,,,187,,,
Formula,,Nose Cone,*,,SA Libre Number,0.5,0.65,,0,100,,,,,,,,,,,,,395,,,
Formula,,Nose Cone,*,,SA Libre Letter,0.875,0.75,,0,110,,,,,,,,,,,,,125,,,
Formula,,Left Side Panel,*,,SA Libre Number,0.5,0.5,,0,100,,,,,,,,,,,,,395,,,
Formula,,Left Side Panel,*,,SA Libre Letter,0.85,0.65,,0,110,,,,,,,,,,,,,125,,,
Formula,,Right Side Panel,*,,SA Libre Number,0.5,0.5,,0,100,,,,,,,,,,,,,395,,,
Formula,,Right Side Panel,*,,SA Libre Letter,0.85,0.65,,0,110,,,,,,,,,,,,,125,,,
Standard Road Car,,Windscreen,*,,SPC Letter,0.75,0.5,,0,100,,,,,,,,,,,,,87.5,,,
Standard Road Car,,Windscreen,*,,SPC Number,0.85,0.5,,0,110,,,,,,,,,,,,,187,,,
Standard Road Car,,Left Door Number Plate,*,,SPC Letter,0.6,0.4,,0,100,,,,,,,,,,,,,125,,,
Standard Road Car,,Left Door Number Plate,*,,SPC Number,0.3,0.5,,0,110,,,,,,,,,,,,,320,,,
Standard Road Car,,Right Door Number Plate,*,,SPC Letter,0.4,0.4,,0,100,,,,,,,,,,,,,125,,,
Standard Road Car,,Right Door Number Plate,*,,SPC Number,0.7,0.5,,0,110,,,,,,,,,,,,,320,,,
Sports Car,,Windscreen,*,,SPC Letter,0.75,0.5,,0,100,,,,,,,,,,,,,87.5,,,
Sports Car,,Windscreen,*,,SPC Number,0.85,0.5,,0,110,,,,,,,,,,,,,187,,,
Sports Car,,Left Door Number Plate,*,,SPC Letter,0.2,0.4,,0,100,,,,,,,,,,,,,125,,,
Sports Car,,Left Door Number Plate,*,,SPC Number,0.4,0.5,,0,110,,,,,,,,,,,,,320,,,
Sports Car,,Right Door Number Plate,*,,SPC Letter,0.8,0.4,,0,100,,,,,,,,,,,,,125,,,
Sports Car,,Right Door Number Plate,*,,SPC Number,0.6,0.5,,0,110,,,,,,,,,,,,,320,,,
Standard Road Car,,Left Door Number Plate,*,,BMW CCG Number,0.5,0.5,,0,100,,,,,,,,,,,,,360,,,
Standard Road Car,,Left Door Number Plate,*,,BMW CCG Letter,0.3,0.4,,0,110,,,,,,,,,,,,,125,,,
Standard Road Car,,Left Door Number Plate,*,,BMW CCG Sponsor,0.5,0.85,1,0,120,,,,,,,,,,,,,,,,
Standard Road Car,,Right Door Number Plate,*,,BMW CCG Number,0.5,0.5,,0,100,,,,,,,,,,,,,360,,,
Standard Road Car,,Right Door Number Plate,*,,BMW CCG Letter,0.3,0.4,,0,110,,,,,,,,,,,,,125,,,
Standard Road Car,,Right Door Number Plate,*,,BMW CCG Sponsor,0.5,0.85,1,0,120,,,,,,,,,,,,,,,,
Standard Road Car,,Rear Windscreen,*,,BMW CCG Name,0.5,0.3,,0,100,,,,,,,,,,,,,212.5,,,
Standard Road Car,,Rear Windscreen,*,,BMW CCG Text,0.5,0.7,,0,110,,,,,,,,,,,,,125,,,
Sports Car,,Left Door Number Plate,*,,BMW CCG Number,0.5,0.5,,0,100,,,,,,,,,,,,,360,,,
Sports Car,,Left Door Number Plate,*,,BMW CCG Letter,0.3,0.4,,0,110,,,,,,,,,,,,,125,,,
Sports Car,,Left Door Number Plate,*,,BMW CCG Sponsor,0.5,0.85,1,0,120,,,,,,,,,,,,,,,,
Sports Car,,Right Door Number Plate,*,,BMW CCG Number,0.5,0.5,,0,100,,,,,,,,,,,,,360,,,
Sports Car,,Right Door Number Plate,*,,BMW CCG Letter,0.3,0.4,,0,110,,,,,,,,,,,,,125,,,
Sports Car,,Right Door Number Plate,*,,BMW CCG Sponsor,0.5,0.85,1,0,120,,,,,,,,,,,,,,,,
Sports Car,,Rear Windscreen,*,,BMW CCG Name,0.33,0.5,,0,100,,,,,,,,,,,,,212.5,,,
Sports Car,,Rear Windscreen,*,,BMW CCG Text,0.66,0.5,,0,110,,,,,,,,,,,,,125,,,
Buggy,,Bonnet,*,,CCSV Number,0.65,0.37,,0,100,,,,,,,,,,,,,270,,,
Buggy,,Roof,*,,CCSV Number,0.5,0.37,,180,100,,,,,,,,,,,,,270,,,
Sporting Trials Car,,Bonnet,*,,CCSV Number,0.65,0.37,,0,100,,,,,,,,,,,,,270,,,
Standard Road Car,,Bonnet,*,,CCSV Number,0.5,0.55,,0,100,,,,,,,,,,,,,470,,,
Standard Road Car,,Roof,*,,CCSV Number,0.5,0.42,,180,100,,,,,,,,,,,,,470,,,
Rally,,Bonnet,*,,CCSV Number,0.65,0.37,,0,100,,,,,,,,,,,,,440,,,
Rally,,Roof,*,,CCSV Number,0.5,0.37,,180,100,,,,,,,,,,,,,440,,,
Rally,,Windscreen,*,,SA Rally Number,0.85,0.5,,0,100,,,,,,,,,,,,,187,,,
Rally,,Windscreen,*,,SA Rally Text,0.5,0.5,,0,110,,,,,,,,,,,,,65,,,
Rally,,Left Rear Window,*,,SA Rally Number,0.45,0.3,,0,100,,,,,,,,,,,,,100,,,
Rally,,Left Rear Window,*,,SA Rally Name,0.45,0.55,,0,110,,,,,,,,,,,,,65,,,
Rally,,Left Rear Window,*,,SA Rally Name2,0.45,0.75,,0,120,,,,,,,,,,,,,65,,,
Rally,,Left Rear Window,*,,SA Rally Flag,0.13,0.55,1,0,130,,,,,,,,,,,,,,,,
Rally,,Left Rear Window,*,,SA Rally Flag2,0.13,0.75,1,0,140,,,,,,,,,,,,,,,,
Rally,,Right Rear Window,*,,SA Rally Number,0.55,0.3,,0,100,,,,,,,,,,,,,100,,,
Rally,,Right Rear Window,*,,SA Rally Name,0.55,0.55,,0,110,,,,,,,,,,,,,65,,,
Rally,,Right Rear Window,*,,SA Rally Name2,0.55,0.75,,0,120,,,,,,,,,,,,,65,,,
Rally,,Right Rear Window,*,,SA Rally Flag,0.87,0.55,1,0,130,,,,,,,,,,,,,,,,
Rally,,Right Rear Window,*,,SA Rally Flag2,0.87,0.75,1,0,140,,,,,,,,,,,,,,,,
